R,G,B,RGB-HEX,escol-number
0,0,0,#000000,0
0,0,0.1111111111,#00001C,6
0,0,0.2222222222,#000038,6
0,0,0.3333333333,#000055,6
0,0,0.4444444444,#000071,12
0,0,0.5555555556,#00008D,12
0,0,0.6666666667,#0000AA,12
0,0,0.7777777778,#0000C6,12
0,0,0.8888888889,#0000E2,12
0,0,1,#0000FF,12
0,0.1111111111,0,#001C00,0
0,0.1111111111,0.1111111111,#001C1C,6
0,0.1111111111,0.2222222222,#001C38,6
0,0.1111111111,0.3333333333,#001C55,6
0,0.1111111111,0.4444444444,#001C71,12
0,0.1111111111,0.5555555556,#001C8D,12
0,0.1111111111,0.6666666667,#001CAA,12
0,0.1111111111,0.7777777778,#001CC6,12
0,0.1111111111,0.8888888889,#001CE2,12
0,0.1111111111,1,#001CFF,12
0,0.2222222222,0,#003800,4
0,0.2222222222,0.1111111111,#00381C,4
0,0.2222222222,0.2222222222,#003838,4
0,0.2222222222,0.3333333333,#003855,6
0,0.2222222222,0.4444444444,#003871,6
0,0.2222222222,0.5555555556,#00388D,12
0,0.2222222222,0.6666666667,#0038AA,12
0,0.2222222222,0.7777777778,#0038C6,12
0,0.2222222222,0.8888888889,#0038E2,12
0,0.2222222222,1,#0038FF,12
0,0.3333333333,0,#005500,4
0,0.3333333333,0.1111111111,#00551C,4
0,0.3333333333,0.2222222222,#005538,4
0,0.3333333333,0.3333333333,#005555,6
0,0.3333333333,0.4444444444,#005571,6
0,0.3333333333,0.5555555556,#00558D,12
0,0.3333333333,0.6666666667,#0055AA,12
0,0.3333333333,0.7777777778,#0055C6,12
0,0.3333333333,0.8888888889,#0055E2,12
0,0.3333333333,1,#0055FF,14
0,0.4444444444,0,#007100,4
0,0.4444444444,0.1111111111,#00711C,10
0,0.4444444444,0.2222222222,#007138,10
0,0.4444444444,0.3333333333,#007155,8
0,0.4444444444,0.4444444444,#007171,8
0,0.4444444444,0.5555555556,#00718D,12
0,0.4444444444,0.6666666667,#0071AA,12
0,0.4444444444,0.7777777778,#0071C6,14
0,0.4444444444,0.8888888889,#0071E2,14
0,0.4444444444,1,#0071FF,14
0,0.5555555556,0,#008D00,10
0,0.5555555556,0.1111111111,#008D1C,10
0,0.5555555556,0.2222222222,#008D38,10
0,0.5555555556,0.3333333333,#008D55,10
0,0.5555555556,0.4444444444,#008D71,8
0,0.5555555556,0.5555555556,#008D8D,10
0,0.5555555556,0.6666666667,#008DAA,14
0,0.5555555556,0.7777777778,#008DC6,14
0,0.5555555556,0.8888888889,#008DE2,14
0,0.5555555556,1,#008DFF,14
0,0.6666666667,0,#00AA00,10
0,0.6666666667,0.1111111111,#00AA1C,10
0,0.6666666667,0.2222222222,#00AA38,10
0,0.6666666667,0.3333333333,#00AA55,10
0,0.6666666667,0.4444444444,#00AA71,10
0,0.6666666667,0.5555555556,#00AA8D,10
0,0.6666666667,0.6666666667,#00AAAA,14
0,0.6666666667,0.7777777778,#00AAC6,14
0,0.6666666667,0.8888888889,#00AAE2,14
0,0.6666666667,1,#00AAFF,14
0,0.7777777778,0,#00C600,10
0,0.7777777778,0.1111111111,#00C61C,10
0,0.7777777778,0.2222222222,#00C638,10
0,0.7777777778,0.3333333333,#00C655,10
0,0.7777777778,0.4444444444,#00C671,10
0,0.7777777778,0.5555555556,#00C68D,10
0,0.7777777778,0.6666666667,#00C6AA,10
0,0.7777777778,0.7777777778,#00C6C6,14
0,0.7777777778,0.8888888889,#00C6E2,14
0,0.7777777778,1,#00C6FF,14
0,0.8888888889,0,#00E200,10
0,0.8888888889,0.1111111111,#00E21C,10
0,0.8888888889,0.2222222222,#00E238,10
0,0.8888888889,0.3333333333,#00E255,10
0,0.8888888889,0.4444444444,#00E271,10
0,0.8888888889,0.5555555556,#00E28D,10
0,0.8888888889,0.6666666667,#00E2AA,10
0,0.8888888889,0.7777777778,#00E2C6,14
0,0.8888888889,0.8888888889,#00E2E2,14
0,0.8888888889,1,#00E2FF,14
0,1,0,#00FF00,10
0,1,0.1111111111,#00FF1C,10
0,1,0.2222222222,#00FF38,10
0,1,0.3333333333,#00FF55,10
0,1,0.4444444444,#00FF71,10
0,1,0.5555555556,#00FF8D,10
0,1,0.6666666667,#00FFAA,10
0,1,0.7777777778,#00FFC6,14
0,1,0.8888888889,#00FFE2,14
0,1,1,#00FFFF,14
0.1111111111,0,0,#1C0000,0
0.1111111111,0,0.1111111111,#1C001C,0
0.1111111111,0,0.2222222222,#1C0038,0
0.1111111111,0,0.3333333333,#1C0055,0
0.1111111111,0,0.4444444444,#1C0071,6
0.1111111111,0,0.5555555556,#1C008D,6
0.1111111111,0,0.6666666667,#1C00AA,6
0.1111111111,0,0.7777777778,#1C00C6,6
0.1111111111,0,0.8888888889,#1C00E2,12
0.1111111111,0,1,#1C00FF,12
0.1111111111,0.1111111111,0,#1C1C00,0
0.1111111111,0.1111111111,0.1111111111,#1C1C1C,0
0.1111111111,0.1111111111,0.2222222222,#1C1C38,0
0.1111111111,0.1111111111,0.3333333333,#1C1C55,0
0.1111111111,0.1111111111,0.4444444444,#1C1C71,6
0.1111111111,0.1111111111,0.5555555556,#1C1C8D,6
